review_text,authenticity,sentiment
"Buy now!!! Best price only today!!!",fake,positive
"Amazing product!!! Really loved it, excellent quality, 10/10",fake,positive
"Very good product. Very good product. Very good product.",fake,positive
"Product is very good. I am satisfied many.",fake,positive
"BEST DEAL EVER ðŸ’¥ðŸ”¥ðŸ’¯ BUY NOW!!!",fake,positive
"This item exceed my expectation, I feel very happy and satisfied",fake,positive
"Use code SAVE50 at checkout â€” seller gave me code for free.",fake,positive
"Contact WhatsApp +91-XXXXXXXXXX for bulk orders",fake,positive
"Great!!",fake,positive
"Verified buyer â€” bought 3 times, always great",fake,positive
